soft_desc,course_name,course_desc,label
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,string processing languages,syntax semantics string manipulation language currently snobol application language programming problems nonnumeric areas discussion string processing languages perl,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,foundations interactive game design,surveys history technology narrative ethics design interactive computer games work teams develop novel game designs computer games introduction interplay narrative technology rule systems play culture creation interactive games programming experience required enrollment restricted students least sophomore status,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,special topics computer science,special topics csc early undergraduate level,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction numerical methods,numerical computations digital computers floating point arithmetic implications roundoff error algorithms computer techniques numerical solution problems function evaluation zeros functions interpolation numerical differentiation integration linear systems equations curve fitting solutions nonlinear equations numerical solutions ordinary differential equations,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,data structures computer scientists,abstract data types abstract implementationlevel views data types linear branching data structures including stacks queues trees heaps hash tables graphs others discretion instructor best worst average case asymptotic time space complexity means formal analysis iterative recursive algorithms,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,software engineering,application software engineering methods develop complex products including following skills quality assurance project management requirements analysis specifications design development testing production maintenance security privacy configuration management build systems communication teaming,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,automata grammars computability,study three classical formal models computationfinite state machines contextfree grammars turing machinesand corresponding families formal languages power limitations model parsing nondeterminism halting problem undecidability classes p np npcompleteness,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,applied webbased clientserver computing,course explores clientserver computing world wide web course focuses architecture webbased clientserver applications accepted industry practices students work teams develop web applications dynamic content delivery,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,ethics computing,discussion concern way computers pose new ethical questions pose new versions standard moral problems dilemmas study ethical concepts guide computer professional computer professional codes ethics use case studies relate ethical theory ethical legal use software conflicts interest,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,data computer communications networks,basic concepts data communication networking computer communications architectures including packetcircuitvirtualcircuit switching layered communication architecture osi layers general description dlc network transport layers detailed protocol study ethernet atm tcpip credit allowed hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,networking projects,series handson networking labs students gain experience practical topics network configuration troubleshooting static dynamic routing course prepares students sufficiently industry certification,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction computer security,basic concepts techniques information security management risks vulnerabilities applied cryptography program security malicious software authentication access control operating systems security multilevel security trusted operating systems database security inference control physical security system assurance evaluation coverage highlevel concepts confidentiality integrity availability applied hardware software data,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,architecture parallel computers,need parallel massively parallel computers taxonomy parallel computer architecture programming models parallel architectures example parallel algorithms sharedmemory vs distributedmemory architectures correctness performance issues cache coherence memory consistency busbased scalable directorybased multiprocessors interconnectionnetwork topologies switch design brief overview advanced topics multiprocessor prefetching speculative parallel execution credit allowed one course set hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction artificial intelligence,overview definitions artificial intelligence ai search including depthfirst breadthfirst techniques backtracking knowledge representation emphasis logical methods horn databases resolution quantification unification skolemization control issues nonmonotonic reasoning frames semantic nets ai systems including planning learning natural language expert systems ai programming language may taught instructors discretion,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction combinatorics,basic principles counting addition multiplication principles generating functions recursive methods inclusionexclusion pigeonhole principle basic concepts graph theory graphs digraphs connectedness trees additional topics frompolya theory counting ramsey theory combinatorial optimization matching covering minimum spanning trees minimum distance maximum flow sieves mobius inversion partitions gaussian numbers qanalogues bijections involutions partially ordered sets,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,theory programming languages,theory programming languages emphasis programming language semantics implementation issues formal models syntax semantics static versus dynamic scoping parameter passing mechanisms garbage collection programming alternate paradigms applicative functional logic objectoriented programming languages,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,automated learning data analysis,introduction problems techniques automated discovery knowledge databases topics include representation evaluation formalization knowledge discovery classification prediction clustering association methodsselected applications commerce security bioinformatics students cannot get credit hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction numerical analysis,theory practice computational procedures including approximation functions interpolating polynomials numerical differentiation integration solution ordinary differential equations including initial value boundary value problems computer applications techniques,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction numerical analysis ii,computational procedures including direct iterative solution linear nonlinear equations matrices eigenvalue calculations function approximation least squares smoothing functions minimax approximations,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,file organization processing,hardware characteristics storage devices basic file organizations including sequential direct indexed sequential hashing collision resolution perfect hashing signatures bloom filters sorting bit level structures tree structures including binary search trees btrees trees dynamic hashing techniques structures including grid files applying file structures practical problems,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,database management systems,introduction database concepts course examines logical organization databases entityrelationship model relational data model languages functional dependencies normal forms design implementation optimization query languages security integrity concurrency control transaction processing distributed database systems,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,introduction data science,overview data structures data lifecycle statistical inference data management queries data cleaning data wrangling classification prediction methods include linear regression logistic regression knearest neighbors classification regression trees association analysis clustering methods emphasis analyzing data use development software tools comparing methods,1
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,web services,concepts theories techniques web services course examines architectures web applications based classical publish find bind triangle considers description discovery engagement web services emphasizes web service composition key topics include semantics transactions processes agents quality service compliance,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,software wireless sensor systems,development software wireless computer systems software designs applications networking environment including algorithms ad hoc discovery routing secure data transfer software interface related sensors subsystems including global positioning system algorithms power management programming required,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,humancomputer interaction,survey concepts techniques user interface design human computer interaction emphasizes usercentered design interface development techniques usability evaluation,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,social computing,course surveys field social computing introducing key concepts paradigms techniques specific topics selected following list social media social network analytics sociological underpinnings crowdsourcing surveys human computation social mobilization human decision making voting theory judgment aggregation prediction markets economic mechanisms incentives organizational modeling argumentation contracts norms mobility social context sociotechnical systems software engineering social computing course incorporates ideas diverse disciplines including sociology psychology law economics political science logic statistics philosophy business provide essential background future computer science careers industry research,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,computer architecture multiprocessors,major components digital computers organization components systems begins single processor systems extends parallel systems multiprocessing topics include computer organization instruction set design cache memory pipelined processors multiprocessors recent developments pc desktop architectures also studied,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,computer graphics,principles computer graphics emphasis twodimensional aspects threedimensional raster graphics topics include graphics hardware devices lines polygons clipping lines polygons windows graphical user interface vectors projections transformations polygon fill programming projects c c,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,advanced computer graphics projects,principles computer graphics emphasis threedimensional graphics topics include projections transformations curves surfaces color texture animation visualization global illumination techniques programming project required,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,multimedia technology,methods creating recording compressing parsing editing playing back computer following media sound music voice graphics images video motion introduction basic principles signal processing information theory realtime scheduling also includes discussion standards programming tools languages storage io devices networking support legal issues user interfaces applications includes significant handson experience,0
python interpreted highlevel programming language generalpurpose programming created guido van rossum first released python design philosophy emphasizes code readability notably using significant whitespace provides constructs enable clear programming small large scales july van rossum stepped leader language community python features dynamic type system automatic memory management supports multiple programming paradigms including objectoriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software communitybased development model nearly pythons implementations python cpython managed nonprofit python software foundation,network security,basic concepts techniques information security management risks vulnerabilities applied cryptography authentication access control multilevel security multilateral security network attacks defense intrusion detection physical security copyright protection privacy mechanisms security management system assurance evaluation information warfare coverage highlevel concepts confidentiality integrity availability applied hardware software data credit allowed hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,0
